DApp,Type,Status (0 means inaccessible),Label,,,,,,,,,,
DopeRaider,CDS,1,,,,,,,,,,,
Drakons,CDS,1,,,,,,,,,,,
Ebisu's Bay,CDS,1,,,,,,,,,,,
Fei Protocol,CDS,1,,,,,,,,,,,
Footbattle,CDS,1,,,,,,,,,,,
HODL Earth,CDS,0,,,,,,,,,,,
HogSmash,CDS,1,,,,,,,,,,,
IMVU powered by MetaJuice,CDS,1,,,,,,,,,,,
Interport Finance,CDS,1,,,,,,,,,,,
MLB Champions,CDS,0,,,,,,,,,,,
MoonCatRescue,CDS,1,,,,,,,,,,,
motoDEX,CDS,1,,,,,,,,,,,
PandExchange,CDS,1,highrisk,,,,,,,,,,
Pandra War,CDS,0,highrisk,,,,,,,,,,
Planet,CDS,1,,,,,,,,,,,
Purrnelopes Country Club,CDS,0,,,,,,,,,,,
Radiant,CDS,0,,,,,,,,,,,
RiotCats,CDS,1,,,,,,,,,,,
SGEM,CDS,1,,,,,,,,,,,
Shinsei Galverse Official,CDS,1,,,,,,,,,,,
Snail Trail Game,CDS,0,,,,,,,,,,,
Superlative Secret Society Official,CDS,1,,,,,,,,,,,
Tokemak,CDS,1,,,,,,,,,,,
Alligator,UR,1,,,,,,,,,,,
BNB Dollars,UR,0,highrisk,,,,,,,,,,
BOO Miner,UR,1,highrisk,,,,,,,,,,
BSC BNB Miner,UR,1,highrisk,,,,,,,,,,
Burger Yield Farm,UR,0,highrisk,,,,,,,,,,
CrocoNest,UR,0,highrisk,,,,,,,,,,
Daily 115 Percent,UR,1,highrisk,,,,,,,,,,
Ether Shrooms Farm,UR,1,highrisk,,,,,,,,,,
ETHMINER,UR,1,highrisk,,,,,,,,,,
EveryDayROI,UR,1,highrisk,,,,,,,,,,
FTM Fantom Miner,UR,1,highrisk,,,,,,,,,,
PEACE,UR,1,highrisk,,,,,,,,,,
Piz Pie,UR,1,highrisk,,,,,,,,,,
Rocket Pool,UR,0,,,,,,,,,,,
Smatic,UR,0,highrisk,,,,,,,,,,
SnailFarm,UR,1,highrisk,,,,,,,,,,
USDC Miner,UR,1,highrisk,,,,,,,,,,
USDT Miner,UR,1,highrisk,,,,,,,,,,
Vineyard Miner,UR,0,highrisk,,,,,,,,,,
WETH Miner,UR,1,highrisk,,,,,,,,,,
ACryptoS,UTS,1,,,,,,,,,,,
Alligator,UTS,1,,,,,,,,,,,
ApeSwap,UTS,1,,,,,,,,,,,
Arcade Land,UTS,0,,,,,,,,,,,
Autoglyphs,UTS,1,,,,,,,,,,,
Battle Racers,UTS,1,,,,,,,,,,,
Bricktopians V2,UTS,1,,,,,,,,,,,
Checks - VV Originals,UTS,1,,,,,,,,,,,
Crypto Bull Society,UTS,0,,,,,,,,,,,
CryptoMibs,UTS,1,,,,,,,,,,,
Cubego,UTS,1,,,,,,,,,,,
Curve,UTS,1,,,,,,,,,,,
Damien Hirst - The Currency,UTS,1,,,,,,,,,,,
Dark Knight,UTS,1,,,,,,,,,,,
Decentral Games,UTS,1,,,,,,,,,,,
Divial Mutual,UTS,1,highrisk,,,,,,,,,,
Dooplicator,UTS,0,,,,,,,,,,,
Ether Legends,UTS,1,,,,,,,,,,,
FEWOCiOUS x RTFKT,UTS,1,,,,,,,,,,,
Flowerpatch,UTS,1,,,,,,,,,,,
Foodcourt Finance,UTS,1,,,,,,,,,,,
Freedom,UTS,0,highrisk,,,,,,,,,,
Genopets,UTS,1,,,,,,,,,,,
Gutter Dogs_-old,UTS,1,,,,,,,,,,,
Light Trail Rush - LTR,UTS,1,,,,,,,,,,,
Liquid Driver,UTS,1,,,,,,,,,,,
Maker DAO,UTS,1,,,,,,,,,,,
MCVerse,UTS,1,,,,,,,,,,,
MM Finance,UTS,1,,,,,,,,,,,
Neo Tokyo Identities,UTS,1,,,,,,,,,,,
Neon District (Ethereum),UTS,1,,,,,,,,,,,
Nine Chronicles,UTS,1,,,,,,,,,,,
Olympus DAO,UTS,1,,,,,,,,,,,
RaidParty Heroes,UTS,1,,,,,,,,,,,
RENGA Black Box,UTS,1,,,,,,,,,,,
Rocket Pool,UTS,0,,,,,,,,,,,
RTFKT x Nike Dunk Genesis CRYPTOKICKS,UTS,1,,,,,,,,,,,
ShuttleOne,UTS,0,,,,,,,,,,,
SpookySwap,UTS,1,,,,,,,,,,,
TIMEPiece Community,UTS,1,,,,,,,,,,,
Universe.XYZ,UTS,0,,,,,,,,,,,
Universo Ancestral,UTS,1,highrisk,,,,,,,,,,
Voxels,UTS,1,,,,,,,,,,,
Wicked Ape Bone Club,UTS,1,,,,,,,,,,,
XCOPY,UTS,1,,,,,,,,,,,
yearn.finance (YFI),UTS,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
